tCu,wCu,tLam,nLam,aln,tsu,freq
13.0,228.0,174.0,10.0,15.0,4.0,75.25
12.0,220.0,204.0,9.0,19.0,2.0,75.25
13.0,219.0,110.0,16.0,18.0,4.0,75.25
13.0,227.0,189.0,10.0,20.0,4.0,75.25
11.0,220.0,226.0,8.0,17.0,4.0,75.25
18.0,222.0,148.0,12.0,17.0,3.0,75.25
14.0,215.0,227.0,8.0,17.0,4.0,75.25
10.0,231.0,204.0,9.0,18.0,5.0,75.25
17.0,225.0,103.0,16.0,15.0,4.0,75.25
11.0,224.0,204.0,9.0,19.0,2.0,75.25
15.0,215.0,222.0,8.0,15.0,4.0,75.25
13.0,246.0,230.0,8.0,18.0,2.0,75.25
10.0,207.0,102.0,16.0,16.0,3.0,75.25
11.0,224.0,161.0,11.0,17.0,4.0,75.25
19.0,227.0,198.0,9.0,15.0,5.0,75.25
17.0,224.0,138.0,13.0,18.0,2.0,75.25
11.0,234.0,101.0,16.0,15.0,3.0,75.25
18.0,227.0,180.0,10.0,17.0,3.0,75.25
14.0,214.0,182.0,10.0,18.0,4.0,75.25
11.0,223.0,197.0,9.0,17.0,2.0,75.25
20.0,211.0,113.0,15.0,16.0,2.0,75.25
15.0,226.0,135.0,13.0,17.0,3.0,75.25
19.0,217.0,109.0,16.0,17.0,4.0,75.25
11.0,240.0,202.0,9.0,18.0,2.0,75.25
16.0,231.0,229.0,8.0,17.0,4.0,75.25
14.0,206.0,229.0,8.0,18.0,4.0,75.25
14.0,231.0,180.0,10.0,17.0,4.0,75.25
17.0,228.0,148.0,12.0,17.0,3.0,75.25
18.0,228.0,130.0,13.0,15.0,3.0,75.25
11.0,219.0,133.0,13.0,17.0,3.0,75.25
15.0,244.0,207.0,9.0,18.0,5.0,75.25
11.0,247.0,234.0,8.0,18.0,6.0,75.25
17.0,225.0,137.0,13.0,17.0,5.0,75.25
18.0,248.0,183.0,10.0,17.0,5.0,75.25
13.0,239.0,206.0,9.0,18.0,5.0,75.25
14.0,224.0,166.0,11.0,18.0,5.0,75.25
14.0,216.0,183.0,10.0,18.0,5.0,75.25
19.0,243.0,150.0,12.0,17.0,4.0,75.25
13.0,233.0,179.0,10.0,16.0,6.0,75.25
16.0,244.0,228.0,8.0,17.0,2.0,75.25
17.0,250.0,206.0,9.0,18.0,3.0,75.25
16.0,219.0,132.0,13.0,16.0,3.0,75.25
15.0,249.0,171.0,11.0,19.0,5.0,75.25
10.0,211.0,193.0,9.0,15.0,4.0,75.25
15.0,225.0,179.0,10.0,17.0,3.0,75.25
16.0,230.0,201.0,9.0,17.0,3.0,75.25
15.0,235.0,164.0,11.0,17.0,5.0,75.25
16.0,215.0,123.0,14.0,16.0,5.0,75.25
16.0,202.0,239.0,8.0,20.0,6.0,75.25
18.0,212.0,105.0,16.0,16.0,3.0,75.25
16.0,208.0,178.0,10.0,17.0,3.0,75.25
15.0,224.0,142.0,12.0,15.0,4.0,75.25
14.0,212.0,143.0,12.0,16.0,3.0,75.25
15.0,210.0,134.0,13.0,17.0,3.0,75.25
20.0,245.0,113.0,15.0,15.0,5.0,75.25
16.0,229.0,118.0,15.0,18.0,2.0,75.25
10.0,200.0,157.0,11.0,16.0,5.0,75.25
18.0,219.0,137.0,13.0,17.0,5.0,75.25
16.0,230.0,230.0,8.0,17.0,5.0,75.25
19.0,250.0,244.0,8.0,20.0,6.0,75.25
12.0,215.0,151.0,12.0,18.0,6.0,75.25
14.0,243.0,175.0,10.0,15.0,4.0,75.25
11.0,233.0,142.0,13.0,20.0,2.0,75.25
19.0,235.0,131.0,14.0,18.0,6.0,75.25
19.0,228.0,233.0,8.0,18.0,4.0,75.25
10.0,241.0,100.0,16.0,15.0,2.0,75.25
16.0,243.0,198.0,9.0,16.0,2.0,75.25
16.0,228.0,186.0,10.0,19.0,3.0,75.25
18.0,229.0,177.0,10.0,16.0,3.0,75.25
12.0,228.0,199.0,9.0,16.0,5.0,75.25
12.0,240.0,177.0,10.0,16.0,4.0,75.25
14.0,207.0,207.0,9.0,19.0,5.0,75.25
16.0,226.0,212.0,9.0,20.0,4.0,75.25
16.0,212.0,125.0,14.0,17.0,4.0,75.25
