,tCu,wCu,tLam,nLam,aln,tsu,freq,tabpfn,pinn,ParaPFN,para_L,,Q,
0,16,200,345,8,16,5,50.5,265.62445,396.00702,256.17178,5.3441424,,6.38382863046436,
1,10,201,328,10,15,3,50.5,253.19724,608.51135,256.75592,5.5191197,,6.91643169682289,
2,10,200,295,11,15,6,50.5,260.0968,590.5399,257.20914,5.739641,,7.00198162370364,
3,16,244,338,9,15,2,50.5,257.32004,524.5981,256.28754,5.553697,,6.84825333946719,
4,13,208,179,12,18,3,50.5,243.30986,242.56554,256.39215,5.1619983,,6.73177194565573,
5,20,203,318,13,15,6,50.5,252.50255,877.82996,256.4338,5.715953,,7.1828058419985,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
